population,health,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
82,106.1596,58.0896,4.512229,91.66305
83,105.9903,57.96275,4.519722,91.67445
82,106.1291,57.78226,4.520646,91.57435
79,105.7421,58.02028,4.54335,91.42319
74,105.6854,58.10386,4.556088,91.79835
73,105.7249,58.40657,4.535234,91.88674
72,105.5608,58.25165,4.538766,91.85526
70,105.6095,58.23943,4.542428,92.0463
68,105.6089,58.40425,4.537516,92.18394
66,105.5334,58.78631,4.530814,92.00762
62,105.7252,58.62182,4.548814,91.86553
61,105.8063,59.03011,4.536926,92.50593
59,105.596,58.98727,4.553755,92.35703
56,105.4847,59.44976,4.584153,92.45169
55,105.58,59.7966,4.551265,92.57443
53,105.7142,59.57662,4.569306,92.72026
53,105.7142,59.57662,4.569306,92.72026
52,105.7254,59.83702,4.55872,92.63079
50,105.5613,60.22165,4.574108,92.87527
50,105.7182,60.09811,4.556342,92.82058
45,105.2113,59.83736,4.600487,92.81077
38,104.5879,59.67617,4.667035,93.31775
36,104.0234,59.28126,4.679852,93.24892
35,103.4395,59.28645,4.682987,93.59641
32,103.2054,59.72148,4.722846,93.74638
30,102.7353,60.23156,4.748102,94.49776
29,102.8765,60.09391,4.775475,94.30803
28,102.6895,60.45518,4.8179,94.10474
27,102.2496,60.52576,4.837729,94.14977
26,101.5849,60.38905,4.873671,94.22861
26,101.5849,60.38905,4.873671,94.22861
25,101.111,60.42858,4.893604,94.47904
25,101.111,60.42858,4.893604,94.47904
24,101.0884,60.39607,4.938118,94.50359
23,101.1855,60.01216,4.926439,94.26461
22,100.7376,60.06603,4.948698,94.16016
22,100.7376,60.06603,4.948698,94.16016
22,100.7376,60.06603,4.948698,94.16016
22,100.7376,60.06603,4.948698,94.16016
22,100.7376,60.06603,4.948698,94.16016
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
21,99.95128,60.33466,4.947966,94.26526
